group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Uniqueness point read,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next::{{closure}} > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},122880,6.00000,3932160
Uniqueness point read,slatedb::db_iter::DbIterator::new::{{closure}} > slatedb::reader::Reader::get_key_value_with_options::{{closure}},102400,5.00000,5242880
Canonical key buffer growth,<alloc::raw_vec::RawVecInner>::finish_grow > <alloc::raw_vec::RawVec<u8>>::grow_one,61440,3.00000,1270240
Uniqueness point read,bytes::bytes::Bytes::copy_from_slice > moraine::store::handle::ReadHandle::get::{{closure}},40960,2.00000,1557440
Uniqueness point read,bytes::bytes::Bytes::copy_from_slice > slatedb::reader::Reader::get_key_value_with_options::{{closure}},40960,2.00000,1557440
Uniqueness point read,bytes::bytes::shallow_clone_vec > bytes::bytes::promotable_even_clone,40960,2.00000,983040
Uniqueness point read,"<alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold > alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter",40960,2.00000,819200
Uniqueness point read,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},40960,2.00000,655360
Uniqueness point read,<slatedb::db_iter::GetIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},40960,2.00000,1638400
Uniqueness point read,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},40960,2.00000,1310720
Uniqueness point read,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},40960,2.00000,1310720
Uniqueness point read,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},40960,2.00000,1638400
Uniqueness point read,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next::{{closure}},40960,2.00000,1310720
Transaction write batch,bytes::bytes::Bytes::copy_from_slice > slatedb::batch::WriteBatch::put_with_options,40960,2.00000,942560
In-batch duplicate tracking,bytes::bytes::shallow_clone_vec > bytes::bytes::promotable_even_clone,20480,1.00000,491520
Probe scheduling,moraine::transaction::index_maintenance::schedule_probe_plan > <futures_util::future::maybe_done::MaybeDone<Fut> as core::future::future::Future>::poll,20480,1.00000,29491200
Probe scheduling,futures_util::stream::futures_unordered::FuturesUnordered<Fut>::push > moraine::transaction::index_maintenance::schedule_probe_plan,20480,1.00000,1638400
Uniqueness point read,slatedb::batch::WriteBatchIterator::new > moraine::store::handle::ReadHandle::get::{{closure}},20480,1.00000,655360
Uniqueness point read,"alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVec<T,A>::grow_one",20480,1.00000,655360
Uniqueness point read,"<alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter > slatedb::reader::Reader::build_iterator_sources::{{closure}}",20480,1.00000,327680
Uniqueness point read,slatedb::mem_table::ouroboros_impl_mem_table_iterator_inner::MemTableIteratorInner<T>::new > slatedb::mem_table::KVTable::range,20480,1.00000,163840
Uniqueness point read,"core::ops::function::impls::<impl core::ops::function::FnMut<A> for &mut F>::call_mut > <alloc::vec::Vec<T> as alloc::vec::spec_from_iter::SpecFromIter<T,I>>::from_iter",20480,1.00000,5898240
