group,allocation_site,blocks,blocks_per_entry,dhat_allocated_bytes
Transaction write batch,bytes::bytes::Bytes::copy_from_slice > slatedb::batch::WriteBatch::put_with_options,40960,2.00000,942560
Key encoding,alloc::raw_vec::RawVecInner<A>::finish_grow > moraine::store::index_encoding::CanonicalKeyBuilder::append_framed,20480,1.00000,778720
Probe planning and duplicate tracking,bytes::bytes::shallow_clone_vec > bytes::bytes::promotable_even_clone,20480,1.00000,491520
Transaction write batch,"alloc::collections::btree::map::entry::VacantEntry<K,V,A>::insert_entry > alloc::collections::btree::map::BTreeMap<K,V,A>::insert",3420,0.16699,4015200
Transactional scan setup,slatedb::merge_iterator::MergeIterator::initialize::{{closure}} > <slatedb::merge_iterator::MergeIterator as slatedb::iter::RowEntryIterator>::init::{{closure}},1280,0.06250,40960
Transactional scan setup,slatedb::db_iter::DbIterator::new::{{closure}} > slatedb::reader::Reader::scan_with_options::{{closure}},800,0.03906,33280
Transactional scan setup,"<alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::fold > slatedb::merge_iterator::MergeIterator::new_with_order",640,0.03125,10240
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},640,0.03125,20480
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},640,0.03125,20480
Transactional scan setup,futures_util::stream::futures_unordered::FuturesUnordered<Fut>::new > slatedb::segment_iterator::SegmentMergeIterator::ensure_front_built::{{closure}},640,0.03125,802560
Transactional scan setup,slatedb::db_iter::ScanIterator::new > slatedb::db_iter::DbIterator::new::{{closure}},480,0.02344,74240
Transactional scan setup,<slatedb::merge_iterator::MergeIterator as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},480,0.02344,69120
Other preparation,"alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVec<T,A>::grow_one",460,0.02246,4640640
Other preparation,alloc::raw_vec::RawVecInner<A>::finish_grow > alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_handle,420,0.02051,1156480
Other preparation,<alloc::string::String as core::clone::Clone>::clone > <moraine::store::proto::generated::DataFileValue as core::clone::Clone>::clone,420,0.02051,3305
Other preparation,bytes::bytes::shallow_clone_vec > bytes::bytes::promotable_even_clone,360,0.01758,8640
Other preparation,bytes::bytes::Bytes::copy_from_slice > <futures_util::stream::futures_unordered::FuturesUnordered<Fut> as futures_core::stream::Stream>::poll_next,320,0.01562,12400
Transactional scan setup,"<alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::try_fold > alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter",320,0.01562,6400
Transactional scan setup,slatedb::merge_iterator::MergeIterator::new_with_order > slatedb::db_iter::ScanIterator::new,320,0.01562,15360
Transactional scan setup,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init::{{closure}},320,0.01562,10240
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::init > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::init::{{closure}},320,0.01562,10240
Transactional scan setup,<slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},320,0.01562,12800
Transactional scan setup,<alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next > <slatedb::filter_iterator::FilterIterator<T> as slatedb::iter::RowEntryIterator>::next::{{closure}},320,0.01562,10240
Transactional scan setup,<slatedb::merge_iterator::MergeIterator as slatedb::iter::RowEntryIterator>::next > <alloc::boxed::Box<dyn slatedb::iter::RowEntryIterator> as slatedb::iter::RowEntryIterator>::next::{{closure}},320,0.01562,184320
Transactional scan setup,slatedb::segment_iterator::SegmentMergeIterator::ensure_front_built::{{closure}} > <slatedb::segment_iterator::SegmentMergeIterator as slatedb::iter::RowEntryIterator>::next::{{closure}},320,0.01562,38400
Probe planning and duplicate tracking,"hashbrown::raw::RawTableInner::fallible_with_capacity > hashbrown::raw::RawTable<T,A>::reserve_rehash",200,0.00977,3358640
Other preparation,bytes::bytes::Bytes::copy_from_slice > slatedb::db_transaction::DbTransaction::put_with_options,200,0.00977,4107
