mode,sources,rows,hits,cache,samples,cpu_us,latency_us,allocations,allocated_bytes,data_gets
files,16,2048,1,cold,1,1830.290,1804.317,4373.0,2701137.0,16.0
files,16,2048,1,warm,32,33.582,33.556,211.2,24019.0,0.0
files,128,16384,1,cold,1,4044.984,4011.946,15947.0,4916331.0,128.0
files,128,16384,1,warm,32,35.384,35.348,211.2,24019.0,0.0
files,1024,131072,1,cold,1,20603.218,20603.238,109409.0,22755999.0,1024.0
files,1024,131072,1,warm,32,37.668,37.625,211.2,24019.0,0.0
inline,16,2048,1,cold,1,1346.402,1310.984,3844.0,2645854.0,0.0
inline,16,2048,1,warm,32,47.118,47.089,299.4,37932.0,0.0
inline,128,16384,1,cold,1,1536.775,1507.560,7607.0,1777451.0,0.0
inline,128,16384,1,warm,32,48.258,48.184,299.4,37932.0,0.0
inline,1024,131072,1,cold,1,8603.813,8558.440,51024.0,13884965.0,0.0
inline,1024,131072,1,warm,32,65.184,65.127,299.6,38023.0,0.0
recent,16,2048,1,cold,1,542.862,522.004,1641.0,314899.0,0.0
recent,16,2048,1,warm,32,103.832,103.800,561.3,134878.2,0.0
recent,128,16384,1,cold,1,1173.398,1155.953,6934.0,1573571.0,0.0
recent,128,16384,1,warm,32,91.267,91.221,511.6,68376.0,0.0
recent,1024,131072,1,cold,1,6589.703,6570.142,50375.0,13684584.0,0.0
recent,1024,131072,1,warm,32,98.386,98.336,533.6,70619.0,0.0
