mode,sources,rows,hits,cache,samples,cpu_us,latency_us,allocations,allocated_bytes,data_gets
files,16,2048,1,cold,1,907.187,882.188,3020.0,602490.0,16.0
files,16,2048,1,warm,32,136.603,136.556,825.8,113172.0,0.0
files,128,16384,1,cold,1,3186.367,3164.193,16012.0,4914493.0,128.0
files,128,16384,1,warm,32,652.122,699.147,4077.1,654650.0,0.0
files,1024,131072,1,cold,1,18445.252,18434.165,109454.0,22694729.0,1024.0
files,1024,131072,1,warm,32,4885.592,4885.828,30063.0,4979848.0,0.0
inline,16,2048,1,cold,1,902.316,855.788,2309.0,812824.0,0.0
inline,16,2048,1,warm,32,207.066,207.015,764.3,439090.0,0.0
inline,128,16384,1,cold,1,2786.833,2744.098,7588.0,4107499.0,0.0
inline,128,16384,1,warm,32,1410.405,1410.345,3176.6,3140024.2,0.0
inline,1024,131072,1,cold,1,18447.886,18383.324,49485.0,30436199.0,0.0
inline,1024,131072,1,warm,32,12950.076,12949.969,22004.0,24134921.0,0.0
recent,16,2048,1,cold,1,836.081,799.058,1559.0,740508.0,0.0
recent,16,2048,1,warm,32,790.133,791.058,2675.5,887015.2,0.0
recent,128,16384,1,cold,1,4101.349,4068.889,7085.0,5106951.0,0.0
recent,128,16384,1,warm,32,5612.783,5612.717,17215.6,6010007.0,0.0
recent,1024,131072,1,cold,1,30807.691,30748.355,52312.0,42074597.0,0.0
recent,1024,131072,1,warm,32,47661.325,47668.728,144107.7,48629916.0,0.0
