mode,sources,rows,hits,cache,samples,cpu_us,latency_us,allocations,allocated_bytes,data_gets
files,16,2048,1,cold,1,873.461,859.413,3129.0,619288.0,16.0
files,16,2048,1,warm,32,74.209,74.181,491.0,54940.0,0.0
files,128,16384,1,cold,1,3132.755,3109.586,14884.0,3031028.0,128.0
files,128,16384,1,warm,32,83.629,84.880,491.0,54940.0,0.0
files,1024,131072,1,cold,1,19371.918,19344.930,108274.0,20835752.0,1024.0
files,1024,131072,1,warm,32,100.345,100.294,491.0,54940.0,0.0
inline,16,2048,1,cold,1,608.055,581.398,2086.0,438355.0,0.0
inline,16,2048,1,warm,32,92.336,92.294,583.0,74818.5,0.0
inline,128,16384,1,cold,1,1051.101,1019.259,5145.0,1294494.0,0.0
inline,128,16384,1,warm,32,96.540,96.488,577.0,68594.0,0.0
inline,1024,131072,1,cold,1,4434.587,4376.844,27914.0,6540749.0,0.0
inline,1024,131072,1,warm,32,89.317,89.269,577.0,68594.0,0.0
recent,16,2048,1,cold,1,413.421,399.950,1136.0,199713.0,0.0
recent,16,2048,1,warm,32,109.205,109.149,597.0,83884.5,0.0
recent,128,16384,1,cold,1,845.794,817.974,4195.0,1056052.0,0.0
recent,128,16384,1,warm,32,97.516,97.483,589.0,77601.0,0.0
recent,1024,131072,1,cold,1,3751.588,3733.620,26782.0,6103512.0,0.0
recent,1024,131072,1,warm,32,109.483,109.438,611.0,79844.0,0.0
