tables,files_per_table,samples,group_size,flush_ms,total_us,cpu_us,durable_us,non_durable_us,object_put_us,allocations,allocated_bytes
0,8,60,1,0,1219.412,203.070,1132.083,87.329,4.215,242.6,119088.5
128,8,60,1,0,1345.857,333.917,1219.242,126.614,3.544,256.8,128549.8
1024,8,60,1,0,1209.248,176.240,1110.497,98.751,2.793,258.2,130308.5
4096,8,60,1,0,1218.816,216.288,1091.245,127.572,3.572,260.8,137903.1
0,8,60,4,0,318.781,63.916,282.196,36.585,0.919,122.4,92938.8
128,8,60,4,0,322.195,67.353,283.310,38.885,0.876,135.9,100501.7
1024,8,60,4,0,313.403,78.258,274.322,39.081,1.039,137.9,102513.8
4096,8,60,4,0,326.123,72.177,281.748,44.375,0.824,139.5,108054.3
0,8,60,1,10,11146.233,365.706,10965.002,181.230,6.555,241.9,118748.8
4096,8,60,1,10,11071.475,415.707,10864.223,207.252,7.128,260.9,139947.3
1,128,60,1,0,1222.072,208.236,1117.448,104.625,4.158,246.7,119279.8
1,1024,60,1,0,1233.173,249.294,1093.667,139.505,4.622,246.8,119330.7
1,32768,60,1,0,1249.026,199.306,1122.977,126.049,3.147,246.8,119331.4
