tables,files_per_table,samples,group_size,flush_ms,total_us,cpu_us,durable_us,non_durable_us,object_put_us,allocations,allocated_bytes
0,8,60,1,0,1212.906,208.263,1072.655,140.251,3.142,255.8,274129.5
128,8,60,1,0,1225.267,227.585,1086.180,139.086,3.180,269.5,283348.2
1024,8,60,1,0,1236.466,236.808,1091.028,145.438,3.099,272.0,285640.8
4096,8,60,1,0,1240.690,213.332,1075.934,164.756,2.592,273.4,292653.0
0,8,60,4,0,331.819,82.759,286.489,45.330,1.016,135.5,247919.2
128,8,60,4,0,326.545,90.317,275.347,51.198,0.974,149.0,255482.1
1024,8,60,4,0,338.762,83.184,280.595,58.167,0.737,151.1,257554.8
4096,8,60,4,0,337.803,84.150,282.207,55.595,0.907,152.6,263071.1
0,8,60,1,10,11072.580,533.348,10812.694,259.886,8.755,254.9,273692.8
4096,8,60,1,10,11164.744,503.599,10890.575,274.169,7.260,273.9,294891.3
1,128,60,1,0,1228.472,209.917,1109.614,118.858,3.004,259.4,274078.2
1,1024,60,1,0,1173.123,218.496,1054.244,118.878,3.568,259.6,274177.6
1,32768,60,1,0,1234.266,213.920,1106.159,128.107,3.016,259.7,274226.9
