tables,files_per_table,samples,group_size,flush_ms,total_us,cpu_us,durable_us,non_durable_us,object_put_us,allocations,allocated_bytes
0,8,60,1,0,1241.595,223.611,1112.785,128.810,3.392,287.6,129466.5
128,8,60,1,0,2512.270,1558.860,1130.730,1381.540,3.928,6814.8,1819305.1
1024,8,60,1,0,15176.397,14638.832,1160.992,14015.405,8.371,52606.3,13751801.5
4096,8,60,1,0,65348.757,66158.583,1171.939,64176.818,9.436,209589.6,54654932.5
0,8,60,4,0,324.999,69.177,282.772,42.227,0.862,156.9,100406.6
128,8,60,4,0,1446.759,1352.741,293.323,1153.436,1.558,5106.6,1384744.8
1024,8,60,4,0,11034.550,11969.353,292.050,10742.499,2.113,39829.0,10458993.2
4096,8,60,4,0,54310.483,59370.311,299.894,54010.589,2.615,158893.7,41580252.2
0,8,60,1,10,11152.233,395.853,10952.192,200.041,6.216,286.9,129126.8
4096,8,60,1,10,68275.549,63451.105,5617.939,62657.610,10.510,209263.5,54496594.4
1,128,60,1,0,1306.306,447.066,1005.695,300.611,4.435,880.1,267729.9
1,1024,60,1,0,1939.566,1240.398,868.800,1070.767,4.928,4917.5,1209718.4
1,32768,60,1,0,46360.724,46581.259,1529.618,44831.106,8.991,148008.1,34602535.7
